Date;VIX_EU
2000-06-27;227.851
2000-06-28;222.728
2000-06-29;235.674
2000-06-30;224.188
2000-07-03;226.522
2000-07-04;218.585
2000-07-05;226.108
2000-07-06;224.538
2000-07-07;214.666
2000-07-10;215.763
2000-07-11;212.154
2000-07-12;209.498
2000-07-13;204.478
2000-07-14;197.817
2000-07-17;196.085
2000-07-18;194.081
2000-07-19;204.576
2000-07-20;200.856
2000-07-21;203.524
2000-07-24;208.416
2000-07-25;20.573
2000-07-26;206.399
2000-07-27;212.491
2000-07-28;225.549
2000-07-31;222.473
2000-08-01;224.564
2000-08-02;222.791
2000-08-03;231.963
2000-08-04;224.068
2000-08-07;222.459
2000-08-08;219.573
2000-08-09;217.924
2000-08-10;21.295
2000-08-11;211.817
2000-08-14;206.699
2000-08-15;206.954
2000-08-16;202.856
2000-08-17;20.218
2000-08-18;19.908
2000-08-21;199.801
2000-08-22;199.077
2000-08-23;196.149
2000-08-24;198.195
2000-08-25;192.467
2000-08-28;197.272
2000-08-29;198.354
2000-08-30;201.445
2000-08-31;196.192
2000-09-01;191.432
2000-09-04;19.608
2000-09-05;205.245
2000-09-06;206.624
2000-09-07;199.145
2000-09-08;204.529
2000-09-11;201.723
2000-09-12;200.698
2000-09-13;205.915
2000-09-14;203.929
2000-09-15;198.744
2000-09-18;211.522
2000-09-19;214.403
2000-09-20;220.206
2000-09-21;248.499
2000-09-22;244.241
2000-09-25;23.134
2000-09-26;226.903
2000-09-27;22.387
2000-09-28;219.375
2000-09-29;233.527
2000-10-02;235.058
2000-10-03;232.025
2000-10-04;235.726
2000-10-05;231.713
2000-10-06;23.228
2000-10-09;252.841
2000-10-10;256.899
2000-10-11;277.018
2000-10-12;276.395
2000-10-13;286.457
2000-10-16;274.471
2000-10-17;269.909
2000-10-18;298.545
2000-10-19;275.447
2000-10-20;264.015
2000-10-23;265.041
2000-10-24;256.512
2000-10-25;267.632
2000-10-26;273.998
2000-10-27;263.201
2000-10-30;264.888
2000-10-31;253.007
2000-11-01;248.817
2000-11-02;244.974
2000-11-03;235.439
2000-11-06;24.153
2000-11-07;243.339
2000-11-08;242.379
2000-11-09;242.536
2000-11-10;255.209
2000-11-13;280.549
2000-11-14;25.58
2000-11-15;251.041
2000-11-16;249.593
2000-11-17;248.839
2000-11-20;263.919
2000-11-21;255.011
2000-11-22;269.424
2000-11-23;261.599
2000-11-24;253.792
2000-11-27;259.746
2000-11-28;262.554
2000-11-29;26.202
2000-11-30;283.822
2000-12-01;272.654
2000-12-04;281.715
2000-12-05;261.682
2000-12-06;256.741
2000-12-07;258.519
2000-12-08;254.143
2000-12-11;247.145
2000-12-12;242.173
2000-12-13;238.414
2000-12-14;249.575
2000-12-15;255.995
2000-12-18;244.511
2000-12-19;243.914
2000-12-20;272.206
2000-12-21;279.824
2000-12-22;274.624
2000-12-27;27.03
2000-12-28;267.269
2000-12-29;262.264
2001-01-02;277.303
2001-01-03;286.179
2001-01-04;269.197
2001-01-05;265.915
2001-01-08;272.654
2001-01-09;270.958
2001-01-10;264.681
2001-01-11;24.84
2001-01-12;236.527
2001-01-15;237.621
2001-01-16;241.272
2001-01-17;234.431
2001-01-18;232.996
2001-01-19;227.919
2001-01-22;233.179
2001-01-23;231.033
2001-01-24;224.584
2001-01-25;220.112
2001-01-26;219.228
2001-01-29;220.578
2001-01-30;225.248
2001-01-31;222.534
2001-02-01;217.483
2001-02-02;211.674
2001-02-05;21.525
2001-02-06;205.066
2001-02-07;207.801
2001-02-08;201.604
2001-02-09;203.934
2001-02-12;196.955
2001-02-13;198.939
2001-02-14;210.316
2001-02-15;196.685
2001-02-16;210.099
2001-02-19;212.961
2001-02-20;214.465
2001-02-21;226.497
2001-02-22;239.595
2001-02-23;238.147
2001-02-26;237.364
2001-02-27;229.086
2001-02-28;233.123
2001-03-01;233.797
2001-03-02;228.025
2001-03-05;222.056
2001-03-06;20.877
2001-03-07;207.941
2001-03-08;205.669
2001-03-09;211.372
2001-03-12;234.681
2001-03-13;241.972
2001-03-14;271.949
2001-03-15;272.113
2001-03-16;27.708
2001-03-19;282.499
2001-03-20;277.236
2001-03-21;283.524
2001-03-22;305.634
2001-03-23;31.441
2001-03-26;287.891
2001-03-27;270.792
2001-03-28;296.507
2001-03-29;301.767
2001-03-30;298.427
2001-04-02;295.547
2001-04-03;330.777
2001-04-04;326.021
2001-04-05;305.196
2001-04-06;297.427
2001-04-09;287.019
2001-04-10;26.521
2001-04-11;253.539
2001-04-12;251.553
2001-04-17;277.887
2001-04-18;251.814
2001-04-19;261.885
2001-04-20;26.52
2001-04-23;269.862
2001-04-24;257.069
2001-04-25;24.958
2001-04-26;229.708
2001-04-27;209.765
2001-04-30;212.096
2001-05-02;217.019
2001-05-03;229.237
2001-05-04;22.902
2001-05-07;225.204
2001-05-08;22.412
2001-05-09;22.67
2001-05-10;212.014
2001-05-11;210.013
2001-05-14;222.907
2001-05-15;216.761
2001-05-16;218.261
2001-05-17;211.251
2001-05-18;206.796
2001-05-21;206.196
2001-05-22;200.028
2001-05-23;200.701
2001-05-24;195.906
2001-05-25;195.156
2001-05-28;197.229
2001-05-29;204.677
2001-05-30;215.401
2001-05-31;213.324
2001-06-01;209.758
2001-06-04;206.748
2001-06-05;198.599
2001-06-06;199.585
2001-06-07;199.685
2001-06-08;190.088
2001-06-11;19.596
2001-06-12;219.501
2001-06-13;213.075
2001-06-14;236.198
2001-06-15;242.691
2001-06-18;244.264
2001-06-19;228.877
2001-06-20;23.083
2001-06-21;222.517
2001-06-22;209.377
2001-06-25;214.135
2001-06-26;235.298
2001-06-27;231.896
2001-06-28;217.453
2001-06-29;203.374
2001-07-02;196.287
2001-07-03;204.274
2001-07-04;205.635
2001-07-05;209.835
2001-07-06;24.72
2001-07-09;253.517
2001-07-10;250.002
2001-07-11;277.726
2001-07-12;250.319
2001-07-13;244.581
2001-07-16;255.613
2001-07-17;261.614
2001-07-18;283.975
2001-07-19;260.746
2001-07-20;261.025
2001-07-23;257.157
2001-07-24;263.884
2001-07-25;280.986
2001-07-26;269.082
2001-07-27;249.231
2001-07-30;235.668
2001-07-31;223.067
2001-08-01;217.247
2001-08-02;22.058
2001-08-03;228.639
2001-08-06;228.967
2001-08-07;227.948
2001-08-08;23.465
2001-08-09;259.944
2001-08-10;257.905
2001-08-13;252.422
2001-08-14;24.09
2001-08-15;242.376
2001-08-16;259.489
2001-08-17;289.581
2001-08-20;28.679
2001-08-21;267.663
2001-08-22;26.935
2001-08-23;252.731
2001-08-24;241.168
2001-08-27;249.203
2001-08-28;262.642
2001-08-29;262.533
2001-08-30;277.022
2001-08-31;274.855
2001-09-03;288.168
2001-09-04;286.014
2001-09-05;299.404
2001-09-06;316.444
2001-09-07;330.768
2001-09-10;349.939
2001-09-11;54.166
2001-09-12;466.506
2001-09-13;409.143
2001-09-14;508.244
2001-09-17;456.318
2001-09-18;468.572
2001-09-19;466.682
2001-09-20;524.536
2001-09-21;575.413
2001-09-24;502.767
2001-09-25;487.255
2001-09-26;470.451
2001-09-27;451.933
2001-09-28;408.917
2001-10-01;432.164
2001-10-02;428.308
2001-10-03;416.257
2001-10-04;389.137
2001-10-05;414.506
2001-10-08;432.581
2001-10-09;421.905
2001-10-10;391.768
2001-10-11;385.802
2001-10-12;383.114
2001-10-15;438.745
2001-10-16;42.316
2001-10-17;409.872
2001-10-18;44.656
2001-10-19;463.948
2001-10-22;426.101
2001-10-23;393.756
2001-10-24;392.538
2001-10-25;407.277
2001-10-26;380.684
2001-10-29;395.995
2001-10-30;427.632
2001-10-31;407.531
2001-11-01;397.658
2001-11-02;384.478
2001-11-05;371.834
2001-11-06;376.643
2001-11-07;368.891
2001-11-08;34.336
2001-11-09;336.126
2001-11-12;394.467
2001-11-13;344.215
2001-11-14;352.279
2001-11-15;368.758
2001-11-16;330.893
2001-11-19;318.439
2001-11-20;318.177
2001-11-21;307.298
2001-11-22;28.142
2001-11-23;275.501
2001-11-26;276.972
2001-11-27;291.762
2001-11-28;300.866
2001-11-29;301.699
2001-11-30;287.656
2001-12-03;301.062
2001-12-04;281.684
2001-12-05;268.196
2001-12-06;275.957
2001-12-07;275.836
2001-12-10;286.401
2001-12-11;285.706
2001-12-12;289.269
2001-12-13;297.933
2001-12-14;300.327
2001-12-17;277.752
2001-12-18;284.894
2001-12-19;283.782
2001-12-20;290.028
2001-12-21;285.525
2001-12-27;275.493
2001-12-28;267.083
2002-01-02;293.238
2002-01-03;273.635
2002-01-04;266.082
2002-01-07;274.224
2002-01-08;270.382
2002-01-09;270.229
2002-01-10;28.28
2002-01-11;271.757
2002-01-14;290.314
2002-01-15;283.889
2002-01-16;292.481
2002-01-17;286.457
2002-01-18;280.762
2002-01-21;29.104
2002-01-22;276.213
2002-01-23;267.301
2002-01-24;247.429
2002-01-25;240.681
2002-01-28;244.068
2002-01-29;250.702
2002-01-30;265.591
2002-01-31;253.756
2002-02-01;246.969
2002-02-04;255.263
2002-02-05;283.647
2002-02-06;298.644
2002-02-07;289.744
2002-02-08;276.714
2002-02-11;274.985
2002-02-12;272.485
2002-02-13;271.248
2002-02-14;257.776
2002-02-15;262.003
2002-02-18;261.842
2002-02-19;281.101
2002-02-20;289.274
2002-02-21;275.996
2002-02-22;288.222
2002-02-25;273.855
2002-02-26;267.555
2002-02-27;261.042
2002-02-28;252.315
2002-03-01;246.614
2002-03-04;249.372
2002-03-05;249.983
2002-03-06;24.467
2002-03-07;250.547
2002-03-08;242.426
2002-03-11;247.397
2002-03-12;249.463
2002-03-13;252.417
2002-03-14;239.739
2002-03-15;221.027
2002-03-18;220.479
2002-03-19;214.943
2002-03-20;219.692
2002-03-21;215.006
2002-03-22;202.874
2002-03-25;205.261
2002-03-26;20.124
2002-03-27;196.228
2002-03-28;19.523
2002-04-02;212.469
2002-04-03;210.574
2002-04-04;218.335
2002-04-05;217.559
2002-04-08;240.468
2002-04-09;231.595
2002-04-10;223.834
2002-04-11;231.157
2002-04-12;227.095
2002-04-15;222.784
2002-04-16;215.347
2002-04-17;225.101
2002-04-18;233.415
2002-04-19;221.707
2002-04-22;230.755
2002-04-23;230.873
2002-04-24;231.543
2002-04-25;247.467
2002-04-26;247.177
2002-04-29;252.871
2002-04-30;248.543
2002-05-02;249.991
2002-05-03;254.528
2002-05-06;256.539
2002-05-07;260.091
2002-05-08;245.799
2002-05-09;248.256
2002-05-10;258.374
2002-05-13;250.596
2002-05-14;249.774
2002-05-15;246.901
2002-05-16;246.991
2002-05-17;242.436
2002-05-20;252.703
2002-05-21;254.457
2002-05-22;266.927
2002-05-23;26.319
2002-05-24;252.165
2002-05-27;247.368
2002-05-28;252.267
2002-05-29;25.153
2002-05-30;271.074
2002-05-31;258.038
2002-06-03;267.834
2002-06-04;293.846
2002-06-05;284.381
2002-06-06;276.788
2002-06-07;289.115
2002-06-10;286.849
2002-06-11;280.383
2002-06-12;298.665
2002-06-13;310.236
2002-06-14;347.321
2002-06-17;310.346
2002-06-18;320.946
2002-06-19;353.578
2002-06-20;367.954
2002-06-21;379.153
2002-06-24;386.839
2002-06-25;365.487
2002-06-26;412.483
2002-06-27;384.161
2002-06-28;361.088
2002-07-01;366.602
2002-07-02;404.822
2002-07-03;437.209
2002-07-04;400.836
2002-07-05;367.587
2002-07-08;38.64
2002-07-09;393.975
2002-07-10;41.934
2002-07-11;465.616
2002-07-12;46.88
2002-07-15;527.674
2002-07-16;536.174
2002-07-17;516.361
2002-07-18;487.631
2002-07-19;520.623
2002-07-22;564.588
2002-07-23;589.559
2002-07-24;627.311
2002-07-25;592.462
2002-07-26;564.105
2002-07-29;469.863
2002-07-30;463.743
2002-07-31;487.118
2002-08-01;509.696
2002-08-02;528.838
2002-08-05;556.485
2002-08-06;540.284
2002-08-07;561.031
2002-08-08;511.385
2002-08-09;500.196
2002-08-12;519.814
2002-08-13;515.112
2002-08-14;515.565
2002-08-15;482.384
2002-08-16;43.809
2002-08-19;381.989
2002-08-20;399.268
2002-08-21;384.585
2002-08-22;391.477
2002-08-23;391.974
2002-08-26;394.661
2002-08-27;38.526
2002-08-28;435.862
2002-08-29;472.494
2002-08-30;468.196
2002-09-02;49.62
2002-09-03;580.645
2002-09-04;57.419
2002-09-05;558.658
2002-09-06;489.287
2002-09-09;508.459
2002-09-10;493.786
2002-09-11;457.648
2002-09-12;497.418
2002-09-13;50.23
2002-09-16;50.939
2002-09-17;515.624
2002-09-18;566.891
2002-09-19;574.877
2002-09-20;55.509
2002-09-23;59.795
2002-09-24;603.492
2002-09-25;574.473
2002-09-26;557.205
2002-09-27;569.539
2002-09-30;613.351
2002-10-01;57.672
2002-10-02;570.608
2002-10-03;588.951
2002-10-04;606.608
2002-10-07;618.977
2002-10-08;611.655
2002-10-09;582.038
2002-10-10;522.758
2002-10-11;496.096
2002-10-14;513.504
2002-10-15;484.223
2002-10-16;515.132
2002-10-17;510.981
2002-10-18;517.326
2002-10-21;509.431
2002-10-22;512.168
2002-10-23;521.633
2002-10-24;502.896
2002-10-25;486.835
2002-10-28;469.142
2002-10-29;49.097
2002-10-30;468.489
2002-10-31;450.719
2002-11-01;447.938
2002-11-04;43.362
2002-11-05;43.231
2002-11-06;445.788
2002-11-07;466.151
2002-11-08;476.918
2002-11-11;487.756
2002-11-12;460.632
2002-11-13;461.539
2002-11-14;442.286
2002-11-15;416.872
2002-11-18;402.265
2002-11-19;393.102
2002-11-20;381.328
2002-11-21;356.394
2002-11-22;348.014
2002-11-25;34.631
2002-11-26;365.816
2002-11-27;346.328
2002-11-28;342.706
2002-11-29;358.342
2002-12-02;367.628
2002-12-03;397.599
2002-12-04;394.775
2002-12-05;424.209
2002-12-06;42.722
2002-12-09;47.103
2002-12-10;452.539
2002-12-11;435.961
2002-12-12;443.072
2002-12-13;446.646
2002-12-16;424.667
2002-12-17;426.792
2002-12-18;455.303
2002-12-19;505.122
2002-12-20;479.537
2002-12-23;466.892
2002-12-27;502.518
2002-12-30;512.125
2003-01-02;465.075
2003-01-03;453.317
2003-01-06;445.907
2003-01-07;448.683
2003-01-08;457.169
2003-01-09;439.305
2003-01-10;414.144
2003-01-13;405.921
2003-01-14;398.198
2003-01-15;396.235
2003-01-16;383.325
2003-01-17;414.642
2003-01-20;435.453
2003-01-21;459.641
2003-01-22;488.465
2003-01-23;475.728
2003-01-24;471.584
2003-01-27;531.365
2003-01-28;524.122
2003-01-29;512.884
2003-01-30;471.878
2003-01-31;443.548
2003-02-03;425.437
2003-02-04;472.353
2003-02-05;45.262
2003-02-06;46.859
2003-02-07;464.025
2003-02-10;457.916
2003-02-11;432.461
2003-02-12;443.671
2003-02-13;444.014
2003-02-14;425.346
2003-02-17;419.179
2003-02-18;403.142
2003-02-19;41.295
2003-02-20;417.054
2003-02-21;406.862
2003-02-24;446.552
2003-02-25;493.281
2003-02-26;481.083
2003-02-27;467.058
2003-02-28;444.992
2003-03-03;439.076
2003-03-04;446.128
2003-03-05;436.487
2003-03-06;438.517
2003-03-07;450.051
2003-03-10;471.662
2003-03-11;452.357
2003-03-12;500.434
2003-03-13;459.769
2003-03-14;469.511
2003-03-17;503.308
2003-03-18;522.337
2003-03-19;528.761
2003-03-20;50.454
2003-03-21;458.393
2003-03-24;501.493
2003-03-25;497.392
2003-03-26;480.592
2003-03-27;466.106
2003-03-28;459.018
2003-03-31;482.735
2003-04-01;467.424
2003-04-02;450.252
2003-04-03;456.902
2003-04-04;439.755
2003-04-07;414.309
2003-04-08;405.902
2003-04-09;392.142
2003-04-10;384.461
2003-04-11;374.965
2003-04-14;34.807
2003-04-15;329.605
2003-04-16;327.572
2003-04-17;326.018
2003-04-22;331.314
2003-04-23;321.561
2003-04-24;324.102
2003-04-25;332.202
2003-04-28;321.108
2003-04-29;325.522
2003-04-30;317.994
2003-05-02;317.165
2003-05-05;310.244
2003-05-06;300.871
2003-05-07;306.431
2003-05-08;340.207
2003-05-09;328.871
2003-05-12;332.662
2003-05-13;326.453
2003-05-14;312.343
2003-05-15;293.191
2003-05-16;28.641
2003-05-19;347.781
2003-05-20;348.366
2003-05-21;361.986
2003-05-22;332.819
2003-05-23;33.535
2003-05-26;328.766
2003-05-27;320.214
2003-05-28;307.929
2003-05-29;304.927
2003-05-30;285.449
2003-06-02;285.451
2003-06-03;309.219
2003-06-04;29.406
2003-06-05;307.454
2003-06-06;283.827
2003-06-09;296.591
2003-06-10;280.258
2003-06-11;269.417
2003-06-12;264.925
2003-06-13;275.091
2003-06-16;262.888
2003-06-17;272.542
2003-06-18;269.091
2003-06-19;272.128
2003-06-20;261.244
2003-06-23;273.781
2003-06-24;281.487
2003-06-25;279.365
2003-06-26;267.974
2003-06-27;265.925
2003-06-30;275.266
2003-07-01;296.345
2003-07-02;275.583
2003-07-03;281.493
2003-07-04;271.119
2003-07-07;258.141
2003-07-08;26.27
2003-07-09;263.162
2003-07-10;268.356
2003-07-11;259.483
2003-07-14;257.826
2003-07-15;261.626
2003-07-16;259.619
2003-07-17;286.285
2003-07-18;281.497
2003-07-21;292.513
2003-07-22;280.752
2003-07-23;273.724
2003-07-24;256.581
2003-07-25;257.282
2003-07-28;257.187
2003-07-29;258.016
2003-07-30;253.825
2003-07-31;245.429
2003-08-01;253.035
2003-08-04;273.256
2003-08-05;266.219
2003-08-06;292.786
2003-08-07;299.674
2003-08-08;287.576
2003-08-11;279.171
2003-08-12;268.908
2003-08-13;267.891
2003-08-14;246.277
2003-08-15;24.515
2003-08-18;241.254
2003-08-19;24.339
2003-08-20;242.803
2003-08-21;235.136
2003-08-22;238.211
2003-08-25;248.533
2003-08-26;264.876
2003-08-27;253.343
2003-08-28;245.186
2003-08-29;246.592
2003-09-01;247.087
2003-09-02;260.787
2003-09-03;257.759
2003-09-04;25.206
2003-09-05;251.135
2003-09-08;248.887
2003-09-09;259.101
2003-09-10;269.681
2003-09-11;264.805
2003-09-12;276.603
2003-09-15;265.884
2003-09-16;245.871
2003-09-17;240.362
2003-09-18;229.601
2003-09-19;239.923
2003-09-22;288.897
2003-09-23;298.322
2003-09-24;305.514
2003-09-25;321.337
2003-09-26;323.831
2003-09-29;322.926
2003-09-30;334.991
2003-10-01;315.937
2003-10-02;308.492
2003-10-03;280.837
2003-10-06;294.751
2003-10-07;310.442
2003-10-08;295.022
2003-10-09;270.613
2003-10-10;270.361
2003-10-13;265.812
2003-10-14;269.747
2003-10-15;267.421
2003-10-16;253.569
2003-10-17;259.474
2003-10-20;247.894
2003-10-21;246.071
2003-10-22;277.612
2003-10-23;26.859
2003-10-24;260.299
2003-10-27;253.192
2003-10-28;239.806
2003-10-29;244.313
2003-10-30;230.414
2003-10-31;225.193
2003-11-03;217.515
2003-11-04;22.783
2003-11-05;226.865
2003-11-06;216.493
2003-11-07;224.927
2003-11-10;226.753
2003-11-11;228.323
2003-11-12;220.237
2003-11-13;223.355
2003-11-14;225.635
2003-11-17;268.332
2003-11-18;29.198
2003-11-19;279.205
2003-11-20;290.138
2003-11-21;272.351
2003-11-24;233.581
2003-11-25;228.032
2003-11-26;232.061
2003-11-27;222.317
2003-11-28;220.766
2003-12-01;229.374
2003-12-02;224.646
2003-12-03;209.778
2003-12-04;209.537
2003-12-05;207.298
2003-12-08;214.049
2003-12-09;206.261
2003-12-10;209.223
2003-12-11;201.148
2003-12-12;209.483
2003-12-15;20.766
2003-12-16;208.061
2003-12-17;210.408
2003-12-18;198.133
2003-12-19;19.867
2003-12-22;196.934
2003-12-23;194.538
2003-12-29;205.724
2003-12-30;211.639
2004-01-02;21.568
2004-01-05;212.916
2004-01-06;200.486
2004-01-07;192.177
2004-01-08;183.112
2004-01-09;201.575
2004-01-12;20.667
2004-01-13;204.633
2004-01-14;196.761
2004-01-15;186.035
2004-01-16;178.668
2004-01-19;190.231
2004-01-20;189.654
2004-01-21;17.733
2004-01-22;185.983
2004-01-23;184.686
2004-01-26;189.211
2004-01-27;192.141
2004-01-28;192.885
2004-01-29;204.524
2004-01-30;210.705
2004-02-02;205.739
2004-02-03;213.464
2004-02-04;21.014
2004-02-05;204.735
2004-02-06;200.529
2004-02-09;187.899
2004-02-10;186.015
2004-02-11;185.715
2004-02-12;185.463
2004-02-13;19.017
2004-02-16;183.737
2004-02-17;180.214
2004-02-18;179.391
2004-02-19;171.344
2004-02-20;179.583
2004-02-23;184.666
2004-02-24;194.737
2004-02-25;188.054
2004-02-26;184.556
2004-02-27;180.624
2004-03-01;176.291
2004-03-02;17.35
2004-03-03;176.658
2004-03-04;173.014
2004-03-05;170.418
2004-03-08;170.757
2004-03-09;188.569
2004-03-10;18.69
2004-03-11;232.192
2004-03-12;246.496
2004-03-15;287.726
2004-03-16;278.862
2004-03-17;244.069
2004-03-18;265.149
2004-03-19;260.003
2004-03-22;317.445
2004-03-23;29.193
2004-03-24;283.686
2004-03-25;259.179
2004-03-26;250.526
2004-03-29;228.428
2004-03-30;23.61
2004-03-31;226.705
2004-04-01;217.108
2004-04-02;190.362
2004-04-05;185.264
2004-04-06;201.013
2004-04-07;207.616
2004-04-08;205.813
2004-04-13;208.351
2004-04-14;220.325
2004-04-15;223.731
2004-04-16;195.633
2004-04-19;198.676
2004-04-20;19.297
2004-04-21;19.842
2004-04-22;180.041
2004-04-23;185.865
2004-04-26;195.038
2004-04-27;189.303
2004-04-28;211.386
2004-04-29;222.828
2004-04-30;22.734
2004-05-03;220.152
2004-05-04;218.267
2004-05-05;198.849
2004-05-06;229.078
2004-05-07;229.899
2004-05-10;260.037
2004-05-11;240.364
2004-05-12;259.911
2004-05-13;254.181
2004-05-14;252.845
2004-05-17;267.613
2004-05-18;253.366
2004-05-19;232.942
2004-05-20;236.029
2004-05-21;223.809
2004-05-24;248.818
2004-05-25;213.512
2004-05-26;210.492
2004-05-27;207.004
2004-05-28;202.582
2004-05-31;212.312
2004-06-01;224.455
2004-06-02;20.741
2004-06-03;207.627
2004-06-04;193.269
2004-06-07;194.315
2004-06-08;19.071
2004-06-09;195.206
2004-06-10;184.083
2004-06-11;181.726
2004-06-14;205.042
2004-06-15;181.549
2004-06-16;176.727
2004-06-17;187.479
2004-06-18;18.177
2004-06-21;177.173
2004-06-22;188.007
2004-06-23;179.197
2004-06-24;178.294
2004-06-25;181.141
2004-06-28;182.891
2004-06-29;182.762
2004-06-30;184.996
2004-07-01;190.414
2004-07-02;186.992
2004-07-05;184.091
2004-07-06;198.884
2004-07-07;193.247
2004-07-08;190.758
2004-07-09;184.286
2004-07-12;19.255
2004-07-13;187.364
2004-07-14;186.697
2004-07-15;181.722
2004-07-16;172.585
2004-07-19;183.094
2004-07-20;181.791
2004-07-21;175.643
2004-07-22;191.699
2004-07-23;196.562
2004-07-26;205.818
2004-07-27;194.315
2004-07-28;198.395
2004-07-29;18.489
2004-07-30;182.363
2004-08-02;193.238
2004-08-03;186.787
2004-08-04;191.002
2004-08-05;189.668
2004-08-06;223.035
2004-08-09;229.025
2004-08-10;212.867
2004-08-11;224.745
2004-08-12;231.659
2004-08-13;234.447
2004-08-16;212.557
2004-08-17;214.162
2004-08-18;206.874
2004-08-19;205.855
2004-08-20;186.987
2004-08-23;184.416
2004-08-24;175.601
2004-08-25;176.618
2004-08-26;171.562
2004-08-27;16.552
2004-08-30;175.699
2004-08-31;187.516
2004-09-01;179.625
2004-09-02;176.071
2004-09-03;165.497
2004-09-06;162.916
2004-09-07;162.265
2004-09-08;162.425
2004-09-09;166.131
2004-09-10;163.408
2004-09-13;163.197
2004-09-14;161.149
2004-09-15;166.545
2004-09-16;167.923
2004-09-17;161.969
2004-09-20;167.553
2004-09-21;160.936
2004-09-22;170.042
2004-09-23;174.798
2004-09-24;165.063
2004-09-27;173.181
2004-09-28;169.987
2004-09-29;165.393
2004-09-30;165.105
2004-10-01;155.663
2004-10-04;161.608
2004-10-05;163.528
2004-10-06;162.926
2004-10-07;167.463
2004-10-08;171.179
2004-10-11;166.859
2004-10-12;174.773
2004-10-13;17.639
2004-10-14;178.157
2004-10-15;168.176
2004-10-18;175.549
2004-10-19;16.974
2004-10-20;177.512
2004-10-21;174.511
2004-10-22;170.055
2004-10-25;192.406
2004-10-26;18.707
2004-10-27;180.991
2004-10-28;175.673
2004-10-29;173.708
2004-11-01;181.296
2004-11-02;168.965
2004-11-03;163.525
2004-11-04;153.837
2004-11-05;15.604
2004-11-08;155.389
2004-11-09;150.808
2004-11-10;146.206
2004-11-11;143.614
2004-11-12;143.737
2004-11-15;149.812
2004-11-16;151.217
2004-11-17;146.861
2004-11-18;14.812
2004-11-19;154.303
2004-11-22;156.861
2004-11-23;15.922
2004-11-24;158.055
2004-11-25;152.217
2004-11-26;156.171
2004-11-29;155.883
2004-11-30;16.557
2004-12-01;156.407
2004-12-02;156.704
2004-12-03;157.055
2004-12-06;157.266
2004-12-07;157.449
2004-12-08;156.118
2004-12-09;15.817
2004-12-10;156.686
2004-12-13;151.109
2004-12-14;151.378
2004-12-15;147.199
2004-12-16;134.434
2004-12-17;141.492
2004-12-20;133.638
2004-12-21;126.358
2004-12-22;129.883
2004-12-23;129.441
2004-12-27;129.556
2004-12-28;130.997
2004-12-29;137.397
